

--------------- INIT PLOT ----------------
Reading weather station: 1 A899
Reading weather station: 2 A836
Reading weather station: 3 A802
Reading weather station: 4 A811
Reading weather station: 5 A827
Reading weather station: 6 A881
Reading weather station: 7 A804
Reading weather station: 8 A838
Reading weather station: 9 A812
Reading weather station: 10 A831
Reading weather station: 11 A832
Reading weather station: 12 A801
Reading weather station: 13 A886
Reading weather station: 14 A813
Reading weather station: 15 A809
Reading weather station: 16 A826
Reading weather station: 17 A803
Reading weather station: 18 A889
Reading weather station: 19 A884
Reading weather station: 20 A879
Reading weather station: 21 A808
Reading weather station: 22 A833
Reading weather station: 23 A840
Reading weather station: 24 A897
Reading weather station: 25 A867
Reading weather station: 26 A837
Reading weather station: 27 A829
Reading weather station: 28 A894
Reading weather station: 29 A883
Reading weather station: 30 A830
Reading weather station: 31 A866
Reading weather station: 32 A853
Reading weather station: 33 A814
Reading weather station: 34 A880
Reading weather station: 35 A852
Reading weather station: 36 A815
Reading weather station: 37 A839
Reading weather station: 38 A844
Reading weather station: 39 A845
Reading weather station: 40 A856
Reading weather station: 41 A810
Reading weather station: 42 A805
Reading weather station: 43 A865
Reading weather station: 44 A870
Reading weather station: 45 A828
Reading weather station: 46 A806
Reading weather station: 47 A863
Reading weather station: 48 A854
Reading weather station: 49 A860
Reading weather station: 50 A841
Reading weather station: 51 A868
Reading weather station: 52 A858
Reading weather station: 53 A817
Reading weather station: 54 A859
Reading weather station: 55 A876
Reading weather station: 56 A875
Reading weather station: 57 A848
Reading weather station: 58 A862
Reading weather station: 59 A874
Reading weather station: 60 A823
Reading weather station: 61 A873
Reading weather station: 62 A807
Reading weather station: 63 B804
Reading weather station: 64 B806
Reading weather station: 65 A818
Reading weather station: 66 A820
Reading weather station: 67 A714
Reading weather station: 68 A715
Reading weather station: 69 A871
Reading weather station: 70 A821
Reading weather station: 71 A752
Reading weather station: 72 A835
Reading weather station: 73 A869
Reading weather station: 74 A850
Reading weather station: 75 A718
Reading weather station: 76 A705
Reading weather station: 77 A763
Reading weather station: 78 A707
Reading weather station: 79 A768
Reading weather station: 80 A743
Reading weather station: 81 A727
Reading weather station: 82 A762
Reading weather station: 83 A747
Reading weather station: 84 A734
Reading weather station: 85 A748
Reading weather station: 86 A702
Reading weather station: 87 A756
Reading weather station: 88 A729
Reading weather station: 89 A520
Reading weather station: 90 A519
Reading weather station: 91 A724
Reading weather station: 92 A507
Reading weather station: 93 A035
Reading weather station: 94 A016
Reading weather station: 95 A003
Reading weather station: 96 A026
Reading weather station: 97 A909
Reading weather station: 98 A029
Reading weather station: 99 A033
Reading weather station: 1 Aguapey
Reading weather station: 2 Alto_Arapey
Reading weather station: 3 Alto_Cuareim
Reading weather station: 4 Alvear
Reading weather station: 5 Arapey_Chico
Reading weather station: 6 Arapey_Grande
Reading weather station: 7 Arapey_Grande_Ruta_4
Reading weather station: 8 Arerunguá
Reading weather station: 9 Artigas
Reading weather station: 10 Baibene
Reading weather station: 11 Baltasar_Brum
Reading weather station: 12 Belén
Reading weather station: 13 Bernabé_Rivera
Reading weather station: 14 Bonpland
Reading weather station: 15 Catalán
Reading weather station: 16 Catalán_Grande_rio
Reading weather station: 17 Cazadores_Correntinos
Reading weather station: 18 Cerro_Amarillo
Reading weather station: 19 Cerro_Chato
Reading weather station: 20 Chajarí
Reading weather station: 21 Colonia_Lavalleja
Reading weather station: 22 Colonia_Libertad
Reading weather station: 23 Colonia_Palma
Reading weather station: 24 Cuareim_Río
Reading weather station: 25 Cuaró
Reading weather station: 26 Cuchilla_de_Salto
Reading weather station: 27 Curuzú_Cuatiá
Reading weather station: 28 Dayman_Ruta_3
Reading weather station: 29 Diego_Lamas
Reading weather station: 30 El_Soberbio
Reading weather station: 31 El_Trompo
Reading weather station: 32 Espinillar
Reading weather station: 33 Federación
Reading weather station: 34 Garruchos
Reading weather station: 35 Guaviyú_de_Arapey
Reading weather station: 36 Itapebí
Reading weather station: 37 Javier_de_Viana
Reading weather station: 38 Loma_Alta
Reading weather station: 39 Los_Conquistadores
Reading weather station: 40 Meneses
Reading weather station: 41 Miriñay_Medio
Reading weather station: 42 Miriñay_Río
Reading weather station: 43 Mocoretá_Lago
Reading weather station: 44 Mocoreta_Medio
Reading weather station: 45 Mocoretá_Río
Reading weather station: 46 Monte_Caseros
Reading weather station: 47 Paso_Campamento
Reading weather station: 48 Paso_de_la_Cruz
Reading weather station: 49 Paso_de_los_Libres
Reading weather station: 50 Paso_del_León
Reading weather station: 51 Paso_del_Remanso
Reading weather station: 52 Paso_Farías
Reading weather station: 53 Paso_Potrero
Reading weather station: 54 Pepirí_Miní
Reading weather station: 55 Puerto_Concordia
Reading weather station: 56 Pujol
Reading weather station: 57 Puntas_de_Valentín
Reading weather station: 58 Queguay_Ruta_3
Reading weather station: 59 Quintana
Reading weather station: 60 Salto
Reading weather station: 61 Salto_Grande
Reading weather station: 62 San_Jaime
Reading weather station: 63 San_Javier
Reading weather station: 64 San_Roquito
Reading weather station: 65 Santa_Ana
Reading weather station: 66 Santo_Tomé
Reading weather station: 67 Sarandí_de_Arapey
Reading weather station: 68 Sequeira
Reading weather station: 69 Solari
Reading weather station: 70 Tomás_Gomensoro
Reading weather station: 71 Uguay
Reading weather station: 72 Yapeyú
171
171
171
171
171
171
171

--------------- THE END PLOT ----------------
